web-scraper-order,web-scraper-start-url,athlete,athlete-href,opponent1,winLoss,method,competition,weight,stage,year,name,opponent2
"1592276225-6836","https://www.bjjheroes.com/a-z-bjj-fighters-list","Alec","https://www.bjjheroes.com/?p=6351","Bradley Hill","W","Choke from back","London Fall Open","88KG","4F","2017","Alec Baulding","Choke from back"
"1592276281-7155","https://www.bjjheroes.com/a-z-bjj-fighters-list","Brian","https://www.bjjheroes.com/?p=6366","Edward Hohl","W","Points","Miami Spring Open","76KG","SF","2019","Brian Mahecha","null"
"1592275636-5473","https://www.bjjheroes.com/a-z-bjj-fighters-list","David","https://www.bjjheroes.com/?p=7463","","","","","","","","David Avellan",""
"1592276203-6720","https://www.bjjheroes.com/a-z-bjj-fighters-list","Yan","https://www.bjjheroes.com/?p=6432","Josh Hinger","L","RNC","Chicago Sp. Open","ABS","F","2017","Yan “Pica-Pau” Lucas","Josh Hinger"
"1592276203-6721","https://www.bjjheroes.com/a-z-bjj-fighters-list","Yan","https://www.bjjheroes.com/?p=6432","Gregory Walker","W","Adv","Chicago Sp. NoGi","79KG","RR","2017","Yan “Pica-Pau” Lucas","null"
"1592275984-6207","https://www.bjjheroes.com/a-z-bjj-fighters-list","Cassio","https://www.bjjheroes.com/?p=6792","Leandro Lo","L","Toe hold","Copa Podio","105KG","RR","2016","Cassio Francis","Leandro Lo"
"1592276245-6961","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jonathan","https://www.bjjheroes.com/?p=6354","Felipe Cesar","W","Points","NY Spring Open","82KG","R1","2018","Jonathan Satava","Felipe Cesar"
"1592276126-6481","https://www.bjjheroes.com/a-z-bjj-fighters-list","Gordon","https://www.bjjheroes.com/?p=6550","W","W","0","1
1


1","0","ADCC","RR","Gordon Ryan","Roberto Abreu"
"1592276293-7211","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ruan","https://www.bjjheroes.com/?p=6375","Alexandre Cavaliere","W","Referee Decision","Grand Slam RJ","85KG","8F","2017","Ruan de Oliveira","Alexandre Cavaliere"
"1592275874-5879","https://www.bjjheroes.com/a-z-bjj-fighters-list","Shane","https://www.bjjheroes.com/?p=7002","Frederico Alves","W","Choke from back","Washington SPO","70KG","SF","2018","Jamil Hill-Taylor","Choke from back"
"1592275774-5752","https://www.bjjheroes.com/a-z-bjj-fighters-list","Tiago","https://www.bjjheroes.com/?p=7156","Jorge Santos","W","Estima lock","Paris Open","76KG","SF","2016","Tiago Bravo","Estima lock"
"1592276107-6375","https://www.bjjheroes.com/a-z-bjj-fighters-list","Francisco","https://www.bjjheroes.com/?p=6563","Arnaldo Maidana","L","Adv","FIVE Cali. 2","ABS","4F","2014","Francisco Iturralde","Arnaldo Maidana"
