web-scraper-order,web-scraper-start-url,athlete,athlete-href,opponent1,winLoss,method,competition,weight,stage,year,name,opponent2
"1592275984-6186","https://www.bjjheroes.com/a-z-bjj-fighters-list","Cassio","https://www.bjjheroes.com/?p=6792","Erberth Santos","L","Kneebar","Grand Slam RJ","ABS","4F","2015","Cassio Francis","Erberth Santos"
"1592276245-6936","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jonathan","https://www.bjjheroes.com/?p=6354","Vagner Rocha","L","Referee Decision","ADCC WC Trials","77KG","SF","2017","Jonathan Satava","Vagner Rocha"
"1592275774-5800","https://www.bjjheroes.com/a-z-bjj-fighters-list","Tiago","https://www.bjjheroes.com/?p=7156","Thiago Macedo","L","Pts: 4x2","Grand Slam AD","69KG","RPC","2020","Tiago Bravo","Thiago Macedo"
"1592275605-5407","https://www.bjjheroes.com/a-z-bjj-fighters-list","Vinicius","https://www.bjjheroes.com/?p=7636","Stanley Rosa","W","Points","American Nats","88KG","4F","2019","Vinicius Garcia","null"
"1592276107-6368","https://www.bjjheroes.com/a-z-bjj-fighters-list","Francisco","https://www.bjjheroes.com/?p=6563","Daniel Tavares","W","Kneebar","NoGi Pan American","79KG","SF","2013","Francisco Iturralde","null"
"1592276144-6649","https://www.bjjheroes.com/a-z-bjj-fighters-list","Richard","https://www.bjjheroes.com/?p=6531","Blake Carroll","W","Heel hook","Kakuto Challenge","ABS","4F","2015","Richie Martinez","Heel hook"
"1592275965-6021","https://www.bjjheroes.com/a-z-bjj-fighters-list","Max","https://www.bjjheroes.com/?p=6805","Alex de Goulart","W","N/A","Petropolis Pro","94KG","SF","2016","Max Gimenis","null"
"1592276265-6999","https://www.bjjheroes.com/a-z-bjj-fighters-list","Kevin","https://www.bjjheroes.com/?p=6368","Luan Carvalho","L","Pts: 2x2","Miami Open","76KG","4F","2014","Kevin Mahecha","Luan Carvalho"
"1592276225-6819","https://www.bjjheroes.com/a-z-bjj-fighters-list","Alec","https://www.bjjheroes.com/?p=6351","Steven Patterson","W","Adv","Atlanta W. Open","88KG","F","2016","Alec Baulding","null"
"1592275649-5523","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ilke","https://www.bjjheroes.com/?p=7376","Tommi Pulkkanen","W","Points","Zurich Open","76KG","F","2018","Ilke Bulut","null"
"1592275649-5493","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ilke","https://www.bjjheroes.com/?p=7376","Lucas Lepri","L","Bow and arrow","World Champ.","76KG","8F","2015","Ilke Bulut","Lucas Lepri"
"1592276126-6575","https://www.bjjheroes.com/a-z-bjj-fighters-list","Gordon","https://www.bjjheroes.com/?p=6550","Roberto Abreu","W","DQ","NoGi Worlds","O97KG","F","2018","Gordon Ryan","Roberto Abreu"
"1592276293-7239","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ruan","https://www.bjjheroes.com/?p=6375","Romulo Azevedo","W","Adv","C. Podio Trials","85KG","SF","2019","Ruan de Oliveira","Romulo Azevedo"
"1592275774-5783","https://www.bjjheroes.com/a-z-bjj-fighters-list","Tiago","https://www.bjjheroes.com/?p=7156","Frederico Silva","W","Submission","Africa Cont. Pro","77KG","F","2019","Tiago Bravo","null"
"1592276203-6731","https://www.bjjheroes.com/a-z-bjj-fighters-list","Yan","https://www.bjjheroes.com/?p=6432","Jonathan Ares","W","Choke","Las Vegas Open","ABS","4F","2017","Yan “Pica-Pau” Lucas","null"
"1592276225-6851","https://www.bjjheroes.com/a-z-bjj-fighters-list","Alec","https://www.bjjheroes.com/?p=6351","S. Varshavskiy","W","N/A","London W. Open","ABS","RR","2018","Alec Baulding","null"
"1592275965-6019","https://www.bjjheroes.com/a-z-bjj-fighters-list","Max","https://www.bjjheroes.com/?p=6805","Dimitrius Souza","L","Points","Brasileiro NoGi","ABS","F","2016","Max Gimenis","Dimitrius Souza"
"1592275700-5590","https://www.bjjheroes.com/a-z-bjj-fighters-list","Enrico","https://www.bjjheroes.com/?p=7247","Steven Barerre","W","Pts: 21x0","No Gi Pan Am.","ABS","8F","2018","Enrico Cocco","null"
"1592276203-6756","https://www.bjjheroes.com/a-z-bjj-fighters-list","Yan","https://www.bjjheroes.com/?p=6432","Fabio Caloi","W","Points","Brasileiro","76KG","SF","2018","Yan “Pica-Pau” Lucas","Fabio Caloi"
"1592275965-6048","https://www.bjjheroes.com/a-z-bjj-fighters-list","Max","https://www.bjjheroes.com/?p=6805","Dany Gerard","W","Pts: 8x2","Pan American","O100KG","8F","2018","Max Gimenis","Dany Gerard"
"1592276097-6309","https://www.bjjheroes.com/a-z-bjj-fighters-list","Dany","https://www.bjjheroes.com/?p=6592","Abraham Marte","W","Choke","Pan American","O100KG","4F","2016","Dany Gerard","Abraham Marte"
"1592276245-6963","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jonathan","https://www.bjjheroes.com/?p=6354","Youngam Noh","W","Pts: 8x0","World Pro","77KG","8F","2018","Jonathan Satava","null"
"1592275649-5525","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ilke","https://www.bjjheroes.com/?p=7376","Unknown","W","Armbar","Summer Challenge","ABS","SPF","2018","Ilke Bulut","Armbar"
"1592275649-5528","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ilke","https://www.bjjheroes.com/?p=7376","Nicolas Marcho","W","Points","Paris Fall Open","82KG","F","2018","Ilke Bulut","null"
"1592276203-6765","https://www.bjjheroes.com/a-z-bjj-fighters-list","Yan","https://www.bjjheroes.com/?p=6432","Moises Euladio","W","Submission","Brasilia Int. Pro","ABS","SF","2018","Yan “Pica-Pau” Lucas","null"
"1592276245-6915","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jonathan","https://www.bjjheroes.com/?p=6354","Daniel Davis","W","RNC","NoGi Pan Ams","79KG","4F","2016","Jonathan Satava","RNC"
"1592275649-5508","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ilke","https://www.bjjheroes.com/?p=7376","Alex Cabanes","L","Referee Decision","World Pro","77KG","R2","2016","Ilke Bulut","null"
"1592276097-6351","https://www.bjjheroes.com/a-z-bjj-fighters-list","Dany","https://www.bjjheroes.com/?p=6592","T. Gaia","W","Pts: 8x2","Los Angeles Open","O100KG","F","2018","Dany Gerard","null"
"1592275802-5809","https://www.bjjheroes.com/a-z-bjj-fighters-list","Muslim","https://www.bjjheroes.com/?p=7111","Fabio Caloi","W","Straight ankle lock","NoGi Worlds","ABS","R1","2016","Muslim Patsarigov","Fabio Caloi"
"1592276097-6305","https://www.bjjheroes.com/a-z-bjj-fighters-list","Dany","https://www.bjjheroes.com/?p=6592","Bruno Amorim","W","Lapel choke","Asian Open","ABS","4F","2015","Dany Gerard","Bruno Amorim"
"1592275711-5641","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jan","https://www.bjjheroes.com/?p=7256","Luciano Macedo","L","Points","South American","76KG","4F","2017","Jan Buatim","null"
"1592275774-5796","https://www.bjjheroes.com/a-z-bjj-fighters-list","Tiago","https://www.bjjheroes.com/?p=7156","Robson Nascimento","L","Pts: 3x0","Al Ain Pro","77KG","SF","2019","Tiago Bravo","null"
"1592275973-6115","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jose Carlos","https://www.bjjheroes.com/?p=6801","Levy Ferreira","W","Injury","Grand Slam RJ","56KG","4F","2017","José Carlos Lima","null"
"1592276225-6871","https://www.bjjheroes.com/a-z-bjj-fighters-list","Alec","https://www.bjjheroes.com/?p=6351","Santeri Lilius","L","Pts: 12x4","European Open","88KG","R1","2020","Alec Baulding","Santeri Lilius"
"1592276203-6748","https://www.bjjheroes.com/a-z-bjj-fighters-list","Yan","https://www.bjjheroes.com/?p=6432","Unknown","W","Points","SJJIF Worlds","82KG","SF","2017","Yan “Pica-Pau” Lucas","null"
"1592276203-6785","https://www.bjjheroes.com/a-z-bjj-fighters-list","Yan","https://www.bjjheroes.com/?p=6432","Leonardo Lara","W","Referee Decision","Brasileiro","76KG","R2","2019","Yan “Pica-Pau” Lucas","Leonardo Lara"
"1592276084-6287","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jhonny","https://www.bjjheroes.com/?p=6596","Vitor Matos","W","Points","Porto Alegre Open","ABS","F","2018","Jhonny Loureiro","null"
"1592276179-6707","https://www.bjjheroes.com/a-z-bjj-fighters-list","Neiman","https://www.bjjheroes.com/?p=6483","","","","","","","","Neiman Gracie",""
"1592275965-6034","https://www.bjjheroes.com/a-z-bjj-fighters-list","Max","https://www.bjjheroes.com/?p=6805","Dany Gerard","W","Pts: 0x0, Adv","Grand Slam LA","110KG","SF","2017","Max Gimenis","Dany Gerard"
"1592275605-5395","https://www.bjjheroes.com/a-z-bjj-fighters-list","Vinicius","https://www.bjjheroes.com/?p=7636","Julian Synan","W","Choke","Orlando Open","88KG","F","2018","Vinicius Garcia","null"
"1592275700-5554","https://www.bjjheroes.com/a-z-bjj-fighters-list","Enrico","https://www.bjjheroes.com/?p=7247","J. Satava","W","N/A","GQ US Nationals","76KG","N/A","2010","Enrico Cocco","null"
"1592276107-6417","https://www.bjjheroes.com/a-z-bjj-fighters-list","Francisco","https://www.bjjheroes.com/?p=6563","JT Torres","L","Pts: 0x0, Adv","World Champ.","76KG","4F","2016","Francisco Iturralde","JT Torres"
"1592275965-6098","https://www.bjjheroes.com/a-z-bjj-fighters-list","Max","https://www.bjjheroes.com/?p=6805","Kaniela Kahuanui","W","Pts: 3x0","NYC Fall Open","ABS","F","2019","Max Gimenis","null"
"1592275802-5805","https://www.bjjheroes.com/a-z-bjj-fighters-list","Muslim","https://www.bjjheroes.com/?p=7111","M. Männimägi","W","Straight ankle lock","NoGi Finnish Open","ABS","4F","2016","Muslim Patsarigov","Straight ankle lock"
"1592276245-6886","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jonathan","https://www.bjjheroes.com/?p=6354","Sean Fischer","W","Pts: 10x0","NY Summer Open","82KG","4F","2015","Jonathan Satava","null"
"1592276293-7230","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ruan","https://www.bjjheroes.com/?p=6375","Claudio Calasans","L","Points","Vitoria Open","88KG","F","2018","Ruan de Oliveira","Claudio Calasans"
"1592275874-5843","https://www.bjjheroes.com/a-z-bjj-fighters-list","Shane","https://www.bjjheroes.com/?p=7002","W","W","0","1
1


1","0","World","RR","Jamil Hill-Taylor","Fabio Caloi"
"1592275984-6177","https://www.bjjheroes.com/a-z-bjj-fighters-list","Cassio","https://www.bjjheroes.com/?p=6792","Rodolfo Vieira","L","RNC","ADCC","99KG","4F","2015","Cassio Francis","Rodolfo Vieira"
"1592275947-5954","https://www.bjjheroes.com/a-z-bjj-fighters-list","Fernando Andrade","https://www.bjjheroes.com/?p=6825","Otavio Nalati","L","Points","Floripa W. Open","ABS","SF","2018","Fernando Reis","null"
"1592276245-6880","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jonathan","https://www.bjjheroes.com/?p=6354","Sergio Ardila","L","Botinha","ADCC US Trials","77KG","3RD","2015","Jonathan Satava","Sergio Ardila"
"1592275947-5915","https://www.bjjheroes.com/a-z-bjj-fighters-list","Fernando Andrade","https://www.bjjheroes.com/?p=6825","Helvecio Penna","W","Choke from back","Gramado Open","94KG","SF","2016","Fernando Reis","Helvecio Penna"
"1592275649-5524","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ilke","https://www.bjjheroes.com/?p=7376","Nicolas Penzer","L","Points","Zurich Open","ABS","SF","2018","Ilke Bulut","null"
"1592276281-7151","https://www.bjjheroes.com/a-z-bjj-fighters-list","Brian","https://www.bjjheroes.com/?p=6366","Eduardo Mulki","W","Armbar","Miami Fall Open","76KG","4F","2018","Brian Mahecha","Armbar"
"1592275984-6151","https://www.bjjheroes.com/a-z-bjj-fighters-list","Cassio","https://www.bjjheroes.com/?p=6792","Dalton Régis","W","Toe hold","Panamericano","94KG","NA","2011","Cassio Francis","Toe hold"
"1592276203-6740","https://www.bjjheroes.com/a-z-bjj-fighters-list","Yan","https://www.bjjheroes.com/?p=6432","Dany Gerard","L","N/A","American Nats","ABS","R1","2017","Yan “Pica-Pau” Lucas","Dany Gerard"
"1592276107-6431","https://www.bjjheroes.com/a-z-bjj-fighters-list","Francisco","https://www.bjjheroes.com/?p=6563","Matheus Costa","W","Kneebar","World Champ.","76KG","R1","2017","Francisco Iturralde","Matheus Costa"
"1592276265-7007","https://www.bjjheroes.com/a-z-bjj-fighters-list","Kevin","https://www.bjjheroes.com/?p=6368","Ed Ramos","L","Kneebar","NY Spring Open","76KG","SF","2015","Kevin Mahecha","null"
"1592275802-5812","https://www.bjjheroes.com/a-z-bjj-fighters-list","Muslim","https://www.bjjheroes.com/?p=7111","Mieszko Maciejewski","W","Straight ankle lock","European Open","ABS","R1","2017","Muslim Patsarigov","Straight ankle lock"
"1592275984-6155","https://www.bjjheroes.com/a-z-bjj-fighters-list","Cassio","https://www.bjjheroes.com/?p=6792","Alex Silva","W","Wristlock","Brasileiro Sud.","ABS","SF","2013","Cassio Francis","null"
"1592275973-6109","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jose Carlos","https://www.bjjheroes.com/?p=6801","Tiago Barros","W","Pts: 2x0","Grand Slam RJ","62KG","SF","2016","José Carlos Lima","Tiago Barros"
"1592275947-5949","https://www.bjjheroes.com/a-z-bjj-fighters-list","Fernando Andrade","https://www.bjjheroes.com/?p=6825","Igor Marques","W","Referee Decision","Brasileiro","100KG","4F","2018","Fernando Reis","null"
"1592275629-5456","https://www.bjjheroes.com/a-z-bjj-fighters-list","Kristian","https://www.bjjheroes.com/?p=7476","Gregory Scott","L","Points","Washington SPO","ABS","R1","2018","Kristian Woodmansee","null"
"1592276107-6470","https://www.bjjheroes.com/a-z-bjj-fighters-list","Francisco","https://www.bjjheroes.com/?p=6563","Leo Silva","W","Armbar","Copa Podio","76KG","RR","2020","Francisco Iturralde","Leo Silva"
"1592275605-5416","https://www.bjjheroes.com/a-z-bjj-fighters-list","Vinicius","https://www.bjjheroes.com/?p=7636","Pedro Rocha","L","Pts: 2x0","Dallas SMO","88KG","F","2019","Vinicius Garcia","Pedro Rocha"
"1592275649-5478","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ilke","https://www.bjjheroes.com/?p=7376","Michael Liera","L","Points","Rickson Cup","76KG","F","2014","Ilke Bulut","Michael Liera"
"1592276126-6521","https://www.bjjheroes.com/a-z-bjj-fighters-list","Gordon","https://www.bjjheroes.com/?p=6550","Jacen Flynn","W","RNC","EBI 6","ABS","R1","2016","Gordon Ryan","RNC"
"1592276107-6472","https://www.bjjheroes.com/a-z-bjj-fighters-list","Francisco","https://www.bjjheroes.com/?p=6563","Leo Silva","L","Pts: 2x0","Copa Podio","76KG","3RD","2020","Francisco Iturralde","Leo Silva"
"1592276107-6428","https://www.bjjheroes.com/a-z-bjj-fighters-list","Francisco","https://www.bjjheroes.com/?p=6563","Victor Silverio","W","Pts: 2x2, Adv","Pan American","76KG","8F","2017","Francisco Iturralde","Victor Silverio"
"1592275700-5604","https://www.bjjheroes.com/a-z-bjj-fighters-list","Enrico","https://www.bjjheroes.com/?p=7247","N/A","W","Guillotine","High Rollerz","ABS","4F","2019","Enrico Cocco","null"
"1592276265-6998","https://www.bjjheroes.com/a-z-bjj-fighters-list","Kevin","https://www.bjjheroes.com/?p=6368","Ricardo Rezende","L","Pts: 2x0","FIVE NAIC","ABS","F","2014","Kevin Mahecha","Ricardo Rezende"
"1592275724-5664","https://www.bjjheroes.com/a-z-bjj-fighters-list","Breno","https://www.bjjheroes.com/?p=7143","Phillipe Iorio","W","Triangle","JJ Olimpico GP","76KG","F","2016","Breno Bittencourt","Triangle"
"1592275874-5871","https://www.bjjheroes.com/a-z-bjj-fighters-list","Shane","https://www.bjjheroes.com/?p=7002","Joseph Overstreet","W","Choke","F2W Pro 53","70KG","SPF","2017","Jamil Hill-Taylor","null"
"1592276097-6330","https://www.bjjheroes.com/a-z-bjj-fighters-list","Dany","https://www.bjjheroes.com/?p=6592","Felipe Bezerra","W","Referee Decision","Pan American","100KG","4F","2017","Dany Gerard","Felipe Bezerra"
"1592275649-5500","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ilke","https://www.bjjheroes.com/?p=7376","Szabo Gyula","W","Adv","London Fall Open","76KG","4F","2015","Ilke Bulut","null"
"1592276126-6498","https://www.bjjheroes.com/a-z-bjj-fighters-list","Gordon","https://www.bjjheroes.com/?p=6550","W","W","0","2
11



11","0","World NG","4F","Gordon Ryan","Patrick Gaudio"
"1592275973-6129","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jose Carlos","https://www.bjjheroes.com/?p=6801","Samuel Canquerino","L","Pts: 2x2, Adv","King of Mats","69KG","RR","2018","José Carlos Lima","null"
"1592275724-5663","https://www.bjjheroes.com/a-z-bjj-fighters-list","Breno","https://www.bjjheroes.com/?p=7143","Luciano Izzi","W","Pts: 12x0","JJ Olimpico GP","76KG","SF","2016","Breno Bittencourt","null"
"1592275774-5732","https://www.bjjheroes.com/a-z-bjj-fighters-list","Tiago","https://www.bjjheroes.com/?p=7156","Leo Sagioro","L","Points","World Pro","65KG","4F","2015","Tiago Bravo","null"
"1592275724-5707","https://www.bjjheroes.com/a-z-bjj-fighters-list","Breno","https://www.bjjheroes.com/?p=7143","Andris Brunovskis","L","Choke from back","Portland Open","82KG","F","2019","Breno Bittencourt","Andris Brunovskis"
"1592275605-5374","https://www.bjjheroes.com/a-z-bjj-fighters-list","Vinicius","https://www.bjjheroes.com/?p=7636","Rodrigo Reis","W","Adv","Brasileiro","82KG","8F","2016","Vinicius Garcia","null"
"1592275947-5971","https://www.bjjheroes.com/a-z-bjj-fighters-list","Fernando Andrade","https://www.bjjheroes.com/?p=6825","Diogo Nascimento","W","Dogbar","Curitiba Pro","94KG","4F","2019","Fernando Reis","null"
"1592276126-6557","https://www.bjjheroes.com/a-z-bjj-fighters-list","Gordon","https://www.bjjheroes.com/?p=6550","D. Borovic","W","Outside heel hook","EBI 14","ABS","R1","2017","Gordon Ryan","Outside heel hook"
"1592275649-5492","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ilke","https://www.bjjheroes.com/?p=7376","Choi Choi","W","Points","World Champ.","76KG","R1","2015","Ilke Bulut","null"
"1592276126-6513","https://www.bjjheroes.com/a-z-bjj-fighters-list","Gordon","https://www.bjjheroes.com/?p=6550","Elliott Hill","W","Rev. triang. armlock","Sapateiro Inv.","ABS","4F","2016","Gordon Ryan","null"
"1592276225-6811","https://www.bjjheroes.com/a-z-bjj-fighters-list","Alec","https://www.bjjheroes.com/?p=6351","Guybson Sa","L","Points","Atlanta Open","ABS","SF","2015","Alec Baulding","Guybson Sa"
"1592275711-5630","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jan","https://www.bjjheroes.com/?p=7256","Gustavo Debortoli","W","Pts: 7x0","Brasileiro","76KG","R1","2017","Jan Buatim","null"
"1592275605-5391","https://www.bjjheroes.com/a-z-bjj-fighters-list","Vinicius","https://www.bjjheroes.com/?p=7636","Celso Vinicius","L","Pts: 4x0","SP BJJ Pro","82KG","SF","2017","Vinicius Garcia","Celso Vinicius"
"1592275973-6118","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jose Carlos","https://www.bjjheroes.com/?p=6801","Jose Kuruoka","W","Pts: 4x4, Pen","Grand Slam AD","56KG","SF","2018","José Carlos Lima","null"
"1592276293-7175","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ruan","https://www.bjjheroes.com/?p=6375","Paulo Ledesma","L","Adv","Rio Summer Open","88KG","4F","2016","Ruan de Oliveira","null"
"1592276211-6807","https://www.bjjheroes.com/a-z-bjj-fighters-list","Henrique","https://www.bjjheroes.com/?p=6348","","","","","","","","Henrique Gama Filho",""
"1592276245-6931","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jonathan","https://www.bjjheroes.com/?p=6354","Yago Espindola","W","Armlock","Pan American","82KG","R1","2017","Jonathan Satava","null"
"1592275700-5574","https://www.bjjheroes.com/a-z-bjj-fighters-list","Enrico","https://www.bjjheroes.com/?p=7247","Gabriel Rollo","L","Pts: 8x0","ADCC","77KG","R1","2015","Enrico Cocco","Gabriel Rollo"
"1592275984-6190","https://www.bjjheroes.com/a-z-bjj-fighters-list","Cassio","https://www.bjjheroes.com/?p=6792","Jhonny Loureiro","W","Toe hold","Rio Summer Open","ABS","4F","2016","Cassio Francis","Jhonny Loureiro"
"1592275965-6064","https://www.bjjheroes.com/a-z-bjj-fighters-list","Max","https://www.bjjheroes.com/?p=6805","Tanner Rice","W","Pts: 0x0, Adv","Grand Slam LA","110KG","4F","2018","Max Gimenis","Tanner Rice"
"1592275629-5469","https://www.bjjheroes.com/a-z-bjj-fighters-list","Kristian","https://www.bjjheroes.com/?p=7476","Marko Tapani","L","DQ","NoGi Worlds","55KG","4F","2019","Kristian Woodmansee","null"
"1592276293-7189","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ruan","https://www.bjjheroes.com/?p=6375","Vitor Toledo","W","Pts: 10x4","Miami Spring Open","94KG","F","2016","Ruan de Oliveira","Vitor Toledo"
"1592276126-6504","https://www.bjjheroes.com/a-z-bjj-fighters-list","Gordon","https://www.bjjheroes.com/?p=6550","W","W","3
1
1
1","0","2
11","ADCC","RR","Gordon Ryan","Vinicius Trator"
"1592276265-7068","https://www.bjjheroes.com/a-z-bjj-fighters-list","Kevin","https://www.bjjheroes.com/?p=6368","James Guyton","W","Points","San Antonio Open","76KG","RR","2017","Kevin Mahecha","null"
"1592275947-5936","https://www.bjjheroes.com/a-z-bjj-fighters-list","Fernando Andrade","https://www.bjjheroes.com/?p=6825","Luis Fagundes","W","Choke from mount","Rio Winter Open","100KG","4F","2017","Fernando Reis","null"
"1592275724-5668","https://www.bjjheroes.com/a-z-bjj-fighters-list","Breno","https://www.bjjheroes.com/?p=7143","Robson Borges","W","N/A","Floripa Open","76KG","4F","2016","Breno Bittencourt","null"
"1592276084-6271","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jhonny","https://www.bjjheroes.com/?p=6596","Isaque Bahiense","L","Pts: 5x0","WP BR Qualifier","77KG","F","2017","Jhonny Loureiro","Isaque Bahiense"
"1592276265-7070","https://www.bjjheroes.com/a-z-bjj-fighters-list","Kevin","https://www.bjjheroes.com/?p=6368","Isaac Doederlein","L","Choke from back","European Open","70KG","R1","2018","Kevin Mahecha","Isaac Doederlein"
"1592275874-5885","https://www.bjjheroes.com/a-z-bjj-fighters-list","Shane","https://www.bjjheroes.com/?p=7002","Marcio Andre","W","Pts: 0x0, Adv","World Champ.","70KG","SF","2018","Jamil Hill-Taylor","Marcio Andre"
"1592276225-6820","https://www.bjjheroes.com/a-z-bjj-fighters-list","Alec","https://www.bjjheroes.com/?p=6351","Ryan Golgosky","W","Pts: 0x0, Adv","Pan American","82KG","R1","2016","Alec Baulding","null"
"1592275947-6004","https://www.bjjheroes.com/a-z-bjj-fighters-list","Fernando Andrade","https://www.bjjheroes.com/?p=6825","Caue Rodrigues","W","Pts: 9x0","Grand Slam RJ","94KG","RPC","2019","Fernando Reis","null"
"1592275774-5771","https://www.bjjheroes.com/a-z-bjj-fighters-list","Tiago","https://www.bjjheroes.com/?p=7156","Thiago Barreto","L","Pts: 4x2","King of Mats","69KG","RR","2018","Tiago Bravo","Thiago Barreto"
"1592275724-5694","https://www.bjjheroes.com/a-z-bjj-fighters-list","Breno","https://www.bjjheroes.com/?p=7143","Lucas Valente","W","Pts: 0x0, Adv","Pan American","76KG","R1","2018","Breno Bittencourt","Lucas Valente"
"1592275605-5380","https://www.bjjheroes.com/a-z-bjj-fighters-list","Vinicius","https://www.bjjheroes.com/?p=7636","Alex Vieira","W","Kimura","Brasilia NG Open","85KG","F","2016","Vinicius Garcia","Kimura"
"1592275649-5496","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ilke","https://www.bjjheroes.com/?p=7376","Daniel Riou","W","Pts: 15x0","Madrid Open","76KG","SF","2015","Ilke Bulut","null"
"1592275973-6124","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jose Carlos","https://www.bjjheroes.com/?p=6801","Franciedson Costa","W","Pts: 14x0","SA Continental Pro","62KG","SF","2018","José Carlos Lima","null"
"1592275947-5975","https://www.bjjheroes.com/a-z-bjj-fighters-list","Fernando Andrade","https://www.bjjheroes.com/?p=6825","Horlando Monteiro","L","Points","Brasileiro","94KG","4F","2019","Fernando Reis","Horlando Monteiro"
"1592276040-6220","https://www.bjjheroes.com/a-z-bjj-fighters-list","Carlos","https://www.bjjheroes.com/?p=6686","","","","","","","","Carlos Terrinha",""
"1592275711-5654","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jan","https://www.bjjheroes.com/?p=7256","Fernando Pessoa","L","N/A","Curitiba Sp. Open","82KG","4F","2018","Jan Buatim","null"
"1592276097-6343","https://www.bjjheroes.com/a-z-bjj-fighters-list","Dany","https://www.bjjheroes.com/?p=6592","Gustavo Dias","L","Pts: 2x2, Adv","San Diego Pro","O94KG","4F","2017","Dany Gerard","Gustavo Dias"
"1592276139-6618","https://www.bjjheroes.com/a-z-bjj-fighters-list","Marcel","https://www.bjjheroes.com/?p=6503","Otavio Sousa","W","Pts: 3x0","Pan American","ABS","R2","2010","Marcel Fortuna","Otavio Sousa"
"1592275947-5945","https://www.bjjheroes.com/a-z-bjj-fighters-list","Fernando Andrade","https://www.bjjheroes.com/?p=6825","Joao Oliveira","W","N/A","Curitiba Open","100KG","SF","2018","Fernando Reis","null"
"1592276126-6578","https://www.bjjheroes.com/a-z-bjj-fighters-list","Gordon","https://www.bjjheroes.com/?p=6550","Patrick Gaudio","W","Pts: 4x4, Adv","NoGi Worlds","ABS","4F","2018","Gordon Ryan","Patrick Gaudio"
"1592275874-5884","https://www.bjjheroes.com/a-z-bjj-fighters-list","Shane","https://www.bjjheroes.com/?p=7002","Isaque Paiva","W","Pts: 2x0","World Champ.","70KG","4F","2018","Jamil Hill-Taylor","Isaque Paiva"
"1592276203-6796","https://www.bjjheroes.com/a-z-bjj-fighters-list","Yan","https://www.bjjheroes.com/?p=6432","Natan Chueng","L","Choke from back","Rio BJJ Pro","82KG","4F","2019","Yan “Pica-Pau” Lucas","Natan Chueng"
"1592276203-6774","https://www.bjjheroes.com/a-z-bjj-fighters-list","Yan","https://www.bjjheroes.com/?p=6432","Hugo Marques","L","Referee Decision","Grand Slam RJ","77KG","F","2018","Yan “Pica-Pau” Lucas","Hugo Marques"
"1592276097-6317","https://www.bjjheroes.com/a-z-bjj-fighters-list","Dany","https://www.bjjheroes.com/?p=6592","R. Evangelista","L","Referee Decision","World Pro","O94KG","4F","2016","Dany Gerard","R. Evangelista"
"1592276097-6329","https://www.bjjheroes.com/a-z-bjj-fighters-list","Dany","https://www.bjjheroes.com/?p=6592","Jared Dopp","W","Pts: 15x2","Pan American","100KG","8F","2017","Dany Gerard","Jared Dopp"
"1592275649-5476","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ilke","https://www.bjjheroes.com/?p=7376","Akira Hosokawa","W","Collar choke","Asian Open","76KG","R1","2014","Ilke Bulut","null"
"1592276126-6577","https://www.bjjheroes.com/a-z-bjj-fighters-list","Gordon","https://www.bjjheroes.com/?p=6550","Vegard Randeberg","W","RNC","NoGi Worlds","ABS","R2","2018","Gordon Ryan","RNC"
"1592276084-6262","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jhonny","https://www.bjjheroes.com/?p=6596","Jose Nascimento","W","Choke","Curitiba Pro","ABS","SF","2016","Jhonny Loureiro","null"
"1592276203-6743","https://www.bjjheroes.com/a-z-bjj-fighters-list","Yan","https://www.bjjheroes.com/?p=6432","Jaime Canuto","L","Armbar","San Diego Pro","82KG","R1","2017","Yan “Pica-Pau” Lucas","Jaime Canuto"
